element,jutsu,sign1,sign2,sign3,sign4,sign5,sign6,sign7
,Transformation Jutsu,dog,boar,ram,,,,
,Clone Jutsu,ram,snake,tiger,,,,
,Substitution Jutsu,tiger,boar,ox,dog,snake,,
,Summoning Jutsu,boar,dog,bird,monkey,ram,,
Lightning Style,Chidori,ox,hare,monkey,,,,
Fire Style,Fireball Jutsu,snake,ram,monkey,boar,horse,tiger,
Fire Style,Phoenix Flower Jutsu,rat,tiger,dog,ox,hare,tiger,
Fire Style,Dragon Fire Jutsu,snake,dragon,hare,tiger,,,
Fire Style,Dragon Flame Bomb,ram,horse,snake,dragon,rat,ox,tiger
Fire Style,Ash Pile Burning,snake,rat,snake,tiger,,,
Water Style,Water Trumpet,dragon,tiger,hare,,,,
Water Style,Water Formation Wall,tiger,snake,rat,snake,tiger,,
Water Style,Water Bullet Jutsu,tiger,ox,tiger,rat,,,
Earth Style,Earth Style Wall,tiger,hare,boar,dog,,,
Earth Style,Earth Dragon Bullet,ram,horse,dragon,,,,
Earth Style,Summoning: Fanged Pursuit Jutsu,tiger,snake,dragon,dog,,,
Wind Style,Great Breakthrough,tiger,ox,dog,hare,snake,,
Wind Style,Wind Cutter Jutsu,tiger,hare,dog,ram,dragon,,
Wind Style,Vacuum Wave,rat,snake,horse,dog,,,
